City,State,Neighborhood,lat,lng
Los Angeles,CA,Del Rey,33.9859958,-118.4249118
Los Angeles,CA,Downtown,34.0522342,-118.24368490000002
Los Angeles,CA,Eagle Rock,34.13224690000001,-118.2117257
Los Angeles,CA,East Hollywood,34.090259,-118.291927
Los Angeles,CA,East Los Angeles,34.0224417,-118.1669736
Los Angeles,CA,Echo Park,34.078159299999996,-118.2605574
Los Angeles,CA,El Segundo,33.9191799,-118.4164652
Los Angeles,CA,El Sereno,34.07358120000001,-118.17864070000002
Los Angeles,CA,Elysian Park,34.084458700000006,-118.23950890000002
Los Angeles,CA,Encino,34.151749200000005,-118.52142820000002
Los Angeles,CA,Exposition Park,34.0174971,-118.28657920000002
Los Angeles,CA,Fairfax,34.0525643,-118.36640859999999
Los Angeles,CA,Florence,33.9744592,-118.2481287
Los Angeles,CA,Florence-Firestone,33.9744592,-118.2481287
Los Angeles,CA,Glassell Park,34.10903629999999,-118.2333778
Los Angeles,CA,Glendale,34.1425078,-118.255075
Los Angeles,CA,Gramercy Park,34.03411079999999,-118.312405
Los Angeles,CA,Granada Hills,34.2793576,-118.5021527
Los Angeles,CA,Green Meadows,34.0508005,-118.271662
Los Angeles,CA,Griffith Park,34.13655440000001,-118.2942
Los Angeles,CA,Hancock Park,34.072332700000004,-118.3286614
Los Angeles,CA,Harbor City,33.7906551,-118.29650840000001
Los Angeles,CA,Harbor Gateway,33.8542133,-118.295294
Los Angeles,CA,Harvard Heights,34.0422222,-118.30416670000001
Los Angeles,CA,Harvard Park,33.983821999999996,-118.30491529999999
Los Angeles,CA,Hermosa Beach,33.8622366,-118.39951940000002
Los Angeles,CA,Highland Park,34.1157564,-118.18540420000001
Los Angeles,CA,Historic South Central,34.0702406,-118.30927199999999
Los Angeles,CA,Hollywood,34.0928092,-118.3286614
Los Angeles,CA,Hollywood Hills,34.1176605,-118.3520389
Los Angeles,CA,Hollywood Hills West,34.1176605,-118.3520389
Los Angeles,CA,Huntington Park,33.981681200000004,-118.22507250000001
